users	instance	cores	weight	wrr_share_pct	served	served_pct
2	inst0	192-201	10	33.3	6	33.3
2	inst1	202-211	10	33.3	6	33.3
2	inst2	212-221	10	33.3	6	33.3
4	inst0	192-201	10	33.3	8	33.3
4	inst1	202-211	10	33.3	8	33.3
4	inst2	212-221	10	33.3	8	33.3
8	inst0	192-201	10	33.3	13	31.7
8	inst1	202-211	10	33.3	14	34.1
8	inst2	212-221	10	33.3	14	34.1
12	inst0	192-201	10	33.3	16	34.0
12	inst1	202-211	10	33.3	16	34.0
12	inst2	212-221	10	33.3	15	31.9
16	inst0	192-201	10	33.3	16	32.7
16	inst1	202-211	10	33.3	16	32.7
16	inst2	212-221	10	33.3	17	34.7
