users	instance	cores	weight	wrr_share_pct	served	served_pct
2	inst0	192-199	8	25.0	3	20.0
2	inst1	200-207	8	25.0	4	26.7
2	inst2	208-215	8	25.0	4	26.7
2	inst3	216-223	8	25.0	4	26.7
4	inst0	192-199	8	25.0	5	25.0
4	inst1	200-207	8	25.0	5	25.0
4	inst2	208-215	8	25.0	5	25.0
4	inst3	216-223	8	25.0	5	25.0
8	inst0	192-199	8	25.0	9	25.0
8	inst1	200-207	8	25.0	9	25.0
8	inst2	208-215	8	25.0	9	25.0
8	inst3	216-223	8	25.0	9	25.0
12	inst0	192-199	8	25.0	12	25.0
12	inst1	200-207	8	25.0	12	25.0
12	inst2	208-215	8	25.0	12	25.0
12	inst3	216-223	8	25.0	12	25.0
16	inst0	192-199	8	25.0	16	25.0
16	inst1	200-207	8	25.0	16	25.0
16	inst2	208-215	8	25.0	16	25.0
16	inst3	216-223	8	25.0	16	25.0
