status	mode	layout	instances	cores	backend	variant	quant	priority	model	job_id	pod
DONE	multiuser	2x16	2	16	llamacpp	zendnn	bf16	1	llama31-8b	llama31-8b__2x16__llamacpp_zendnn__bf16	turin-xcovoid0021-pod-7
DONE	multiuser	2x16	2	16	llamacpp	nozendnn	bf16	1	llama31-8b	llama31-8b__2x16__llamacpp_nozendnn__bf16	turin-xcovoid0021-pod-6
DONE	multiuser	2x16	2	16	vllm	zentorch	bf16	1	llama31-8b	llama31-8b__2x16__vllm_zentorch__bf16	turin-xcovoid0021-pod-7
DONE	multiuser	2x16	2	16	vllm	nozentorch	bf16	1	llama31-8b	llama31-8b__2x16__vllm_nozentorch__bf16	turin-xcovoid0021-pod-6
DONE	multiuser	3x10	3	10	llamacpp	zendnn	bf16	1	llama31-8b	llama31-8b__3x10__llamacpp_zendnn__bf16	turin-xcovoid0023-pod-3
DONE	multiuser	3x10	3	10	llamacpp	nozendnn	bf16	1	llama31-8b	llama31-8b__3x10__llamacpp_nozendnn__bf16	turin-xcovoid0023-pod-4
DONE	multiuser	3x10	3	10	vllm	zentorch	bf16	1	llama31-8b	llama31-8b__3x10__vllm_zentorch__bf16	turin-xcovoid0021-pod-6
DONE	multiuser	3x10	3	10	vllm	nozentorch	bf16	1	llama31-8b	llama31-8b__3x10__vllm_nozentorch__bf16	turin-xcovoid0021-pod-7
DONE	multiuser	4x8	4	8	llamacpp	zendnn	bf16	1	llama31-8b	llama31-8b__4x8__llamacpp_zendnn__bf16	turin-xcovoid0023-pod-4
DONE	multiuser	4x8	4	8	llamacpp	nozendnn	bf16	1	llama31-8b	llama31-8b__4x8__llamacpp_nozendnn__bf16	turin-xcovoid0023-pod-4
DONE	multiuser	4x8	4	8	vllm	zentorch	bf16	1	llama31-8b	llama31-8b__4x8__vllm_zentorch__bf16	turin-xcovoid0021-pod-6
DONE	multiuser	4x8	4	8	vllm	nozentorch	bf16	1	llama31-8b	llama31-8b__4x8__vllm_nozentorch__bf16	turin-xcovoid0023-pod-3
DONE	multiuser	8x4	8	4	llamacpp	zendnn	bf16	1	llama31-8b	llama31-8b__8x4__llamacpp_zendnn__bf16	turin-xcovoid0021-pod-7
DONE	multiuser	8x4	8	4	llamacpp	nozendnn	bf16	1	llama31-8b	llama31-8b__8x4__llamacpp_nozendnn__bf16	turin-xcovoid0023-pod-1
FAILED	multiuser	8x4	8	4	vllm	zentorch	bf16	1	llama31-8b	llama31-8b__8x4__vllm_zentorch__bf16	turin-xcovoid0023-pod-4
FAILED	multiuser	8x4	8	4	vllm	nozentorch	bf16	1	llama31-8b	llama31-8b__8x4__vllm_nozentorch__bf16	turin-xcovoid0021-pod-7
RUNNING	ppsweep	1x32	1	32	llamacpp	zendnn	q8	1	llama31-8b	llama31-8b__1x32__llamacpp_zendnn__q8	turin-xcovoid0023-pod-1
